labels,parents
Coinhabitants,
Past,Coinhabitants
Present,Coinhabitants
Unnoticed,Coinhabitants
Faculty,Past
Students,Past
TAs,Past
Students &<br>Faculty from<br>Other Courses,Past
Lurch of<br>Heavy Doors,Past
Squeak of<br>Wet Shoes,Past
Awkward Creaking<br>of Chairs,Past
Lectures,Past
Some Student<br>Engagement,Past
My Own<br>Engagement,Past
Songs<br>About Seattle,Past
(Relatively) Empty,Present
Remarkably<br>Quiet Building,Present
Trees<br>(Visible Outside),Present
Me<br>(in Hallway),Present
Gentle Echo<br>of My Footsteps,Present
Nearby Offices,Present
Staff,Unnoticed
Other<br>Disciplines,Unnoticed
Insects,Unnoticed
Services of<br>Nearby Offices,Unnoticed
Microscopic<br>Organisms,Unnoticed
