labels,parents
Coinhabitants,
Past,Coinhabitants
Present,Coinhabitants
Unnoticed,Coinhabitants
Geese<br>(Perhaps Squawking?),Past
Rabbits,Past
Thunder,Past
Trees Waving<br>in Stormy Weather,Past
My Own Voice,Past
Slipping of<br>My Feet,Past
Dogs<br>(off Leashes),Past
Small Children,Past
Families,Past
Drone of a<br>Busy Quad,Past
Allure of<br>the Quad,Past
Rain,Past
Snow,Past
Friends,Past
Rustling Leaves,Present
Whizz of<br>Delivery Bike,Present
Light Hum<br>of Conversation,Present
Birds Chirping,Present
Students,Present
Guests<br>(Conference?),Present
Wasp,Present
Me,Present
Dogs<br>(on Leashes),Present
Rumbling of<br>a Plane,Present
Trees,Present
Grass,Present
Bushes,Present
Marx Sticker,Present
Clacking of<br>Heels/Boots,Present
Gray Squirrel,Present
Crow<br>(& Crows Cawing),Present
Chirping<br>Blue Jay,Present
Another Bird,Present
Weeds,Present
Spider & Web,Present
Faculty,Present
Thud of Doors,Present
Ant,Present
Hum of<br>Vehicular Traffic,Present
Squawking &<br>Rustling Behind Me,Present
Buzz of<br>Uniwheelers,Present
Crackle of<br>Leaves & Twigs,Present
Students<br>& Parents,Present
Gentle Thud<br>of Moving Objects,Present
Squeals of <br>Uncomfirmed Source,Present
Community Space,Present
More Insects,Unnoticed
More Birds,Unnoticed
More Squirrels,Unnoticed
Various Forms<br>of Plant Life,Unnoticed
Campus Staff,Unnoticed
Microscopic<br>Organisms,Unnoticed
