labels,parents
Coinhabitants,
Past,Coinhabitants
Present,Coinhabitants
Unnoticed,Coinhabitants
Students,Past
TAs,Past
Staff,Past
Awkward Silence<br>of Small Class,Past
Buzz of<br>Collaboration,Past
Discomforting Prominence<br>of Own Voice,Past
Spider<br>(of Unknown Fate),Past
Loud Conversations<br>from Outside,Past
Students Talking<br>Over Instructor,Past
Varied Personalities<br>of Self-Introductions,Past
Food Crumbs,Past
(Relative)<br>Emptiness,Present
Closed Door,Present
Me,Present
Sound of<br>My Footsteps,Present
Sound of<br>My Typing,Present
Swish of<br>My Pantlegs,Present
Rustling of<br>My Backpack,Present
Distant Coughing,Present
Students,Present
Gentle Hum<br>of A/C,Present
Sqeaking Shoes,Present
Thud of Doors,Present
Jangling Keys,Present
Stirring of<br>Bike Spokes,Present
Gentle Sigh,Present
Hum of<br>Vending Machine,Present
Learning,Present
"1:30 ""Bell""",Present
Bulletin Board,Present
Community Space,Present
Lab Computers,Present
Project,Present
Faculty,Unnoticed
Non-UW<br>Affiliated Persons,Unnoticed
"Flies, Gnats,<br>& Other Insects",Unnoticed
Dust Mites,Unnoticed
Microscopic<br>Organisms,Unnoticed
