labels,parents
Coinhabitants,
Past,Coinhabitants
Present,Coinhabitants
Unnoticed,Coinhabitants
Students,Past
Spider,Past
Unknown Insect,Past
Friends,Past
Vibrant Conversation,Past
Intense Typing,Past
Shuffling of Paper,Past
Clicking of Lamp,Past
Staff,Past
Running of Heater,Past
Zoom Calls,Past
Thud of Footsteps<br>Outside,Past
Crunch of Key<br>Opening Door,Past
Clinking of Spoon,Past
Collaboration,Past
Opening (& Closing)<br>of Door,Present
Sigh of Relief<br>(Upon Entering),Present
Gentle Hum<br>of Air Filter,Present
Gentle Clanging<br>of Desk,Present
My Typing,Present
Slight Sqeak<br>of Chair,Present
Distant Thud<br>of Construction,Present
Books/Posters/<br>Personal Items,Present
(Signs of)<br>Inhabitants,Present
Jangling of Keys,Present
Quiet Tap<br>of My Feet,Present
Learning,Present
Me,Present
Past Users<br>of this Space,Unnoticed
Future Users<br>of this Space,Unnoticed
More Insects?,Unnoticed
Dust Mites,Unnoticed
Microscopic<br>Organisms,Unnoticed
