labels,parents
Coinhabitants,
Past,Coinhabitants
Present,Coinhabitants
Unnoticed,Coinhabitants
Faculty,Past
Staff,Past
Students,Past
TAs,Past
(Story of<br>the Pigeon?),Past
Various<br>Quad Noises,Past
Nervous Energy<br>of Presenters,Past
Gentle Pour<br>of Boiled Water<br>over Tea Leaves,Past
Prospective<br>Grad Students,Past
Stillness,Past
Typing,Past
Learning,Past
Conversations<br>over Zoom,Past
Jangling of Keys,Past
Knocking<br>(Usually Door),Past
Vibrant<br>Intellectual<br>Discussions,Past
Tired<br>Intellectual<br>Discussions,Past
Food Crumbs,Past
(Relatively) Empty,Present
Jarring Sounds<br>of Construction,Present
Me,Present
Clacking of<br>My Keyboard,Present
Signs of Past (& Present)<br>Faculty & Students,Present
"Past Faculty,<br>Students, & Staff",Unnoticed
Insects,Unnoticed
Microscopic<br>Organisms,Unnoticed
