labels,parents
Coinhabitants,
Past,Coinhabitants
Present,Coinhabitants
Unnoticed,Coinhabitants
Boiling Kettles,Past
Boisterous<br>Conversation,Past
"Meetings<br>(In-Person, Online)",Past
Other Clubs,Past
Students,Past
(Likely) Faculty,Past
Community<br>Members,Past
"Staff<br>(Janitorial, Dining)",Past
Beeping Microwave,Past
Tea Industry<br>Professionals,Past
Recent Graduates,Past
Shattering of<br>Tea Cup,Past
Curious<br>Tea-Drinkers,Past
Club Members,Past
Friends,Past
Tea Leaves,Past
Maintenance<br>Crew,Present
Dog (on Leash)<br>(Visible Outside),Present
Trees & Greenery<br>(Visible Outside),Present
Shifting of<br>Tables & Chairs,Present
Gnat,Present
Occasional Hum<br>of Vehicular Traffic,Present
Distant Coughing,Present
Light Conversation,Present
Pedestrians<br>(Visible Outside),Present
Ping of<br>Notification,Present
Clacking of<br>My Own Typing,Present
Me,Present
Wasps<br>(Visible Outside),Present
Yearning,Present
Chairs' Blue Hues,Present
More Insects,Unnoticed
Other Activities,Unnoticed
Digital Spaces,Unnoticed
Tea Labor,Unnoticed
Microscopic<br>Organisms,Unnoticed
