labels,parents
Coinhabitants,
Past,Coinhabitants
Present,Coinhabitants
Unnoticed,Coinhabitants
Club Conversations,Past
Club Members,Past
Curious<br>Tea-Drinkers,Past
Other<br>Clubs/Groups,Past
Tea Industry<br>Professionals,Past
Gnats,Past
Students,Past
(Likely) Faculty,Past
"Meetings<br>(In-Person, Online)",Past
Community<br>Members,Past
"Staff<br>(Janitorial, Dining)",Past
Boiling Kettle,Past
Politely Asked to<br>Move by 5pm,Past
Families,Past
Tea Leaves,Past
Slight Hum of<br>Conversation,Present
Trees & Greenery<br>(Visible Outside),Present
Crows<br>(Visible Outside),Present
Pedestrians<br>(Visible Outside),Present
Me,Present
Motor Vehicles<br>(Visible Outside),Present
Students,Present
More Insects,Unnoticed
Other Activities,Unnoticed
Maintenance<br>Crew(s),Unnoticed
Digital Spaces,Unnoticed
Tea Labor,Unnoticed
Microscopic<br>Organisms,Unnoticed
